package,DI,TI,PY,SO,AU,AU_UN,AU1_CO
bibliometrix,10.1016/j.wneu.2018.09.107,SIGNIFICANCE OF PROVOCATIVE PERFUSION COMPUTED TOMOGRAPHY FOR EVALUATION OF BOW HUNTER SYNDROME,2019,WORLD NEUROSURGERY,PARK JH;IHN YK;HONG JT,CATHOLIC UNIV KOREA;CATHOLIC UNIV KOREA;CATHOLIC UNIV KOREA,KOREA
bibliometrix,10.1016/j.wneu.2018.09.093,A VERY RARE CASE OF RIGHT INSULAR LOBE LANGERHANS CELL HISTIOCYTOSIS (CD1A(+)) MIMICKING GLIOBLASTOMA MULTIFORME IN A YOUNG ADULT,2019,WORLD NEUROSURGERY,BARTSCHI P;LUNA E;GONZALEZ-LOPEZ P;ABARCA J;HERRERO J;COSTA E;PAYA A;SALES J;MORENO P,UNIV GEN HOSP ALICANTE;UNIV GEN HOSP ALICANTE;UNIV GEN HOSP ALICANTE,SPAIN
bibliometrix,10.1016/j.wneu.2018.09.118,CONTRALATERAL LUMBAR TO SACRAL NERVE REROUTING FOR HEMIPLEGIC PATIENTS AFTER STROKE: A CLINICAL PILOT STUDY,2019,WORLD NEUROSURGERY,QIU YQ;DU MX;YU BF;JIANG S;FENG JT;SHEN YD;XU WD,FUDAN UNIV;JINGAN DIST CENT HOSP;LIMB FUNCT RECONSTRUCT CTR;FUDAN UNIV;JINGAN DIST CENT HOSP;KEY LAB HAND RECONSTRUCT;SHANGHAI KEY LAB PERIPHERAL NERVE AND MICROSURG;FUDAN UNIV,CHINA
bibliometrix,10.1016/j.wneu.2018.09.131,RESCUE GLUE EMBOLIZATION OF VESSEL PERFORATION DURING MECHANICAL THROMBECTOMY FOR ACUTE ISCHEMIC STROKE: TECHNICAL NOTE,2019,WORLD NEUROSURGERY,XU HW;GUAN S;LIU C;WANG L;YAN BJ;HAN HJ;QUAN T,ZHENGZHOU UNIV;CHILDRENS HOSP;SECOND PEOPLES HOSP,CHINA
bibliometrix,10.1016/j.wneu.2018.09.129,DISTAL VENTRICULOATRIAL SHUNT REVISION IN ADULT MYELOMENINGOCELE PATIENT PERFORMED VIA ENDOVASCULAR TRANSVENOUS APPROACH,2019,WORLD NEUROSURGERY,RAO AJ;TETON Z;RODRIGUEZ V;TIEU BH;RASLAN AM,OREGON HLTH AND SCI UNIV;UNIV CALIF LOS ANGELES;OREGON HLTH AND SCI UNIV;UNIV CALIF DAVIS,USA
bibliometrix,10.1016/j.wneu.2018.09.088,RE-RECURRENCE OF INTRACRANIAL ANEURYSM WITH PROXIMAL VASCULAR STENOSIS AFTER PRIMARY CLIPPING AND SECONDARY ENDOVASCULAR EMBOLIZATION: A CASE REPORT AND LITERATURE REVIEW,2019,WORLD NEUROSURGERY,ZHANG DH;WANG HL;LIU TY;FENG YL;QI Y;XU N,JILIN UNIV,CHINA
bibliometrix,10.1016/j.wneu.2018.09.168,ENDOVASCULAR TREATMENT OF VERTEBRAL-VENOUS FISTULA WITH FLOW-DIVERTING STENT,2019,WORLD NEUROSURGERY,RAJADURAI S;MUTHUKUMARASWAMY S;HUSSAIN Z,WAIKATO HOSP;WAIKATO HOSP,NEW ZEALAND
bibliometrix,10.1016/j.wneu.2018.09.146,MICROSCOPIC ANTERIOR NEURAL DECOMPRESSION COMBINED WITH OBLIQUE LUMBAR INTERBODY FUSION - A TECHNICAL NOTE,2019,WORLD NEUROSURGERY,CHACHAN S;BAE J;LEE SH;SUK JW;SHIN SH,SPINE HLTH WOORIDUL HOSP,KOREA
bibliometrix,10.1016/j.wneu.2018.09.141,PARTIAL VERTEBRAE RESECTION LATERALLY TO HARVEST SUPPLEMENTAL AUTOGRAFT BONE FOR ANTERIOR CERVICAL DISCECTOMY AND FUSION: A TECHNICAL NOTE AND OUTCOMES,2019,WORLD NEUROSURGERY,LIU XW;WU ZF;LIU G;SUN GJ;KANG ZL;ZHAO JN;XU B,NANJING UNIV,CHINA
bibliometrix,10.1016/j.wneu.2018.09.153,UPDATES IN THE MANAGEMENT OF CEREBRAL INFARCTIONS AND SUBARACHNOID HEMORRHAGE SECONDARY TO INTRACRANIAL ARTERIAL DISSECTION: A SYSTEMATIC REVIEW,2019,WORLD NEUROSURGERY,AL-MUFTI F;KAMAL N;DAMODARA N;NUOMAN R;GUPTA R;ALOTAIBI NM;ALKANAQ A;EL-GHANEM M;KELLER IA;SCHONFELD S;GUPTA G;ROYCHOWDHURY S,NEW YORK MED COLL;RUTGERS STATE UNIV;RUTGERS STATE UNIV;RUTGERS STATE UNIV;RUTGERS STATE UNIV;RUTGERS STATE UNIV;UNIV TORONTO;UNIV ARIZONA,USA
