refID,DI,TI.x,TI.y,TI_check,PY.x,PY.y,PY_check,SO,AU,AU_UN,country_refsplitr,AU1_CO,CO,code_refsplitr,code_AU1_CO,code_CO,country_v_AU1_CO,country_v_CO,AU1_CO_v_CO
1,10.1016/j.wneu.2018.09.107,significance of provocative perfusion computed tomography for evaluation of bow hunter syndrome,significance of provocative perfusion computed tomography for evaluation of bow hunter syndrome,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,PARK JH;IHN YK;HONG JT,CATHOLIC UNIV KOREA;CATHOLIC UNIV KOREA;CATHOLIC UNIV KOREA,south korea,KOREA,KOREA,KOR,KOR,KOR,TRUE,TRUE,TRUE
2,10.1016/j.wneu.2018.09.093,a very rare case of right insular lobe langerhans cell histiocytosis (cd1a(+)) mimicking glioblastoma multiforme in a young adult,a very rare case of right insular lobe langerhans cell histiocytosis (cd1a(+)) mimicking glioblastoma multiforme in a young adult,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,BARTSCHI P;LUNA E;GONZALEZ-LOPEZ P;ABARCA J;HERRERO J;COSTA E;PAYA A;SALES J;MORENO P,UNIV GEN HOSP ALICANTE;UNIV GEN HOSP ALICANTE;UNIV GEN HOSP ALICANTE,spain,SPAIN,SPAIN,ESP,ESP,ESP,TRUE,TRUE,TRUE
3,10.1016/j.wneu.2018.09.118,contralateral lumbar to sacral nerve rerouting for hemiplegic patients after stroke: a clinical pilot study,contralateral lumbar to sacral nerve rerouting for hemiplegic patients after stroke: a clinical pilot study,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,QIU YQ;DU MX;YU BF;JIANG S;FENG JT;SHEN YD;XU WD,FUDAN UNIV;JINGAN DIST CENT HOSP;LIMB FUNCT RECONSTRUCT CTR;FUDAN UNIV;JINGAN DIST CENT HOSP;KEY LAB HAND RECONSTRUCT;SHANGHAI KEY LAB PERIPHERAL NERVE AND MICROSURG;FUDAN UNIV,peoples r china,CHINA,CHINA,CHN,CHN,CHN,TRUE,TRUE,TRUE
4,10.1016/j.wneu.2018.09.131,rescue glue embolization of vessel perforation during mechanical thrombectomy for acute ischemic stroke: technical note,rescue glue embolization of vessel perforation during mechanical thrombectomy for acute ischemic stroke: technical note,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,XU HW;GUAN S;LIU C;WANG L;YAN BJ;HAN HJ;QUAN T,ZHENGZHOU UNIV;CHILDRENS HOSP;SECOND PEOPLES HOSP,peoples r china,CHINA,CHINA,CHN,CHN,CHN,TRUE,TRUE,TRUE
5,10.1016/j.wneu.2018.09.129,distal ventriculoatrial shunt revision in adult myelomeningocele patient performed via endovascular transvenous approach,distal ventriculoatrial shunt revision in adult myelomeningocele patient performed via endovascular transvenous approach,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,RAO AJ;TETON Z;RODRIGUEZ V;TIEU BH;RASLAN AM,OREGON HLTH AND SCI UNIV;UNIV CALIF LOS ANGELES;OREGON HLTH AND SCI UNIV;UNIV CALIF DAVIS,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
6,10.1016/j.wneu.2018.09.088,re-recurrence of intracranial aneurysm with proximal vascular stenosis after primary clipping and secondary endovascular embolization: a case report and literature review,re-recurrence of intracranial aneurysm with proximal vascular stenosis after primary clipping and secondary endovascular embolization: a case report and literature review,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,ZHANG DH;WANG HL;LIU TY;FENG YL;QI Y;XU N,JILIN UNIV,peoples r china,CHINA,CHINA,CHN,CHN,CHN,TRUE,TRUE,TRUE
7,10.1016/j.wneu.2018.09.168,endovascular treatment of vertebral-venous fistula with flow-diverting stent,endovascular treatment of vertebral-venous fistula with flow-diverting stent,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,RAJADURAI S;MUTHUKUMARASWAMY S;HUSSAIN Z,WAIKATO HOSP;WAIKATO HOSP,new zealand,NEW ZEALAND,NEW ZEALAND,NZL,NZL,NZL,TRUE,TRUE,TRUE
8,10.1016/j.wneu.2018.09.146,microscopic anterior neural decompression combined with oblique lumbar interbody fusion - a technical note,microscopic anterior neural decompression combined with oblique lumbar interbody fusion - a technical note,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,CHACHAN S;BAE J;LEE SH;SUK JW;SHIN SH,SPINE HLTH WOORIDUL HOSP,south korea,KOREA,KOREA,KOR,KOR,KOR,TRUE,TRUE,TRUE
9,10.1016/j.wneu.2018.09.141,partial vertebrae resection laterally to harvest supplemental autograft bone for anterior cervical discectomy and fusion: a technical note and outcomes,partial vertebrae resection laterally to harvest supplemental autograft bone for anterior cervical discectomy and fusion: a technical note and outcomes,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,LIU XW;WU ZF;LIU G;SUN GJ;KANG ZL;ZHAO JN;XU B,NANJING UNIV,peoples r china,CHINA,CHINA,CHN,CHN,CHN,TRUE,TRUE,TRUE
10,10.1016/j.wneu.2018.09.153,updates in the management of cerebral infarctions and subarachnoid hemorrhage secondary to intracranial arterial dissection: a systematic review,updates in the management of cerebral infarctions and subarachnoid hemorrhage secondary to intracranial arterial dissection: a systematic review,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,AL-MUFTI F;KAMAL N;DAMODARA N;NUOMAN R;GUPTA R;ALOTAIBI NM;ALKANAQ A;EL-GHANEM M;KELLER IA;SCHONFELD S;GUPTA G;ROYCHOWDHURY S,NEW YORK MED COLL;RUTGERS STATE UNIV;RUTGERS STATE UNIV;RUTGERS STATE UNIV;RUTGERS STATE UNIV;RUTGERS STATE UNIV;UNIV TORONTO;UNIV ARIZONA,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
