DI,country_refsplitr,AU1_CO,code_refsplitr,code_AU1_CO,
10.1016/j.wneu.2018.09.211,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2018.09.166,germany,EGYPT,DEU,EGY,egypt is secondary address
10.1016/j.wneu.2018.09.181,taiwan,UNITED KINGDOM,TWN,GBR,
10.1016/j.wneu.2018.09.229,taiwan,CHINA,TWN,CHN,
10.1016/j.toxicon.2018.11.291,nicaragua,SPAIN,NIC,ESP,spain is secondary address
10.1016/j.vaccine.2018.11.048,usa,SOUTH AFRICA,USA,ZAF,
10.1016/j.vaccine.2018.11.017,finland,SPAIN,FIN,ESP,
10.1016/j.vaccine.2018.07.023,spain,CZECH REPUBLIC,ESP,CZE,
10.1016/j.vaccine.2018.10.008,italy,FRANCE,ITA,FRA,
10.1016/j.vaccine.2018.07.036,usa,AUSTRALIA,USA,AUS,
10.1016/j.vaccine.2018.06.067,usa,SWITZERLAND,USA,CHE,
10.1016/j.vaccine.2018.11.062,france,KENYA,FRA,KEN,
10.1016/j.ces.2018.08.013,israel,USA,ISR,USA,
10.1016/j.vaccine.2018.12.014,australia,FRANCE,AUS,FRA,
10.1016/j.wneu.2018.10.092,brazil,USA,BRA,USA,
10.1016/j.wneu.2018.10.091,saudi arabia,CANADA,SAU,CAN,
10.1016/j.wneu.2018.10.201,india,CANADA,IND,CAN,
10.1016/j.wneu.2018.10.029,thailand,KOREA,THA,KOR,
10.1016/j.wneu.2018.10.195,italy,INDIA,ITA,IND,
10.1016/j.wneu.2018.10.094,brazil,USA,BRA,USA,
10.1016/j.wneu.2018.10.144,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2018.11.005,turkey,USA,TUR,USA,
10.1016/j.wneu.2018.09.188,UK,ITALY,GBR,ITA,
10.1016/j.wneu.2018.10.119,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2018.10.130,taiwan,CHINA,TWN,CHN,
10.1016/j.toxicon.2018.11.301,australia,GERMANY,AUS,DEU,
10.1016/j.toxicon.2018.11.430,UK,SLOVAKIA,GBR,SVK,
10.1016/j.ces.2018.02.016,taiwan,CHINA,TWN,CHN,
10.1016/j.vaccine.2018.12.056,mongolia,SWITZERLAND,MNG,CHE,
10.1016/j.vaccine.2018.12.049,netherlands,NORWAY,NLD,NOR,
10.1016/j.vaccine.2018.12.059,australia,CHILE,AUS,CHL,
10.1016/j.ces.2018.11.050,iran,CANADA,IRN,CAN,
10.1016/j.ces.2018.11.032,denmark,CHINA,DNK,CHN,
10.1016/j.ces.2018.09.018,russia,INDIA,RUS,IND,
10.1016/j.ces.2018.10.002,peoples r china,CANADA,CHN,CAN,
10.1016/j.ces.2018.10.013,usa,IRAQ,USA,IRQ,
10.1016/j.ces.2018.10.018,peoples r china,CANADA,CHN,CAN,
10.1016/j.ces.2018.10.029,netherlands,CHINA,NLD,CHN,
10.1016/j.wneu.2018.11.145,pakistan,CANADA,PAK,CAN,
10.1016/j.wneu.2018.11.035,canada,USA,CAN,USA,
10.1016/j.wneu.2018.10.211,lebanon,FRANCE,LBN,FRA,
10.1016/j.wneu.2018.11.135,russia,KAZAKHSTAN,RUS,KAZ,
10.1016/j.wneu.2018.10.168,saudi arabia,CANADA,SAU,CAN,
10.1016/j.wneu.2018.10.213,usa,KOREA,USA,KOR,
10.1016/j.vaccine.2019.01.078,morocco,MAURITANIA,MAR,MRT,
10.1016/j.vaccine.2019.02.001,egypt,LEBANON,EGY,LBN,
10.1016/j.vaccine.2019.01.067,morocco,USA,MAR,USA,
10.1016/j.vaccine.2018.11.073,finland,UNITED KINGDOM,FIN,GBR,
10.1016/j.toxicon.2019.02.001,tunisia,SAUDI ARABIA,TUN,SAU,
10.1016/j.vaccine.2019.02.023,taiwan,CHINA,TWN,CHN,
10.1016/j.vaccine.2018.09.034,taiwan,CHINA,TWN,CHN,
10.1016/j.vaccine.2019.02.036,usa,UNITED KINGDOM,USA,GBR,
10.1016/j.vaccine.2019.02.006,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2019.01.081,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2018.12.207,russia,TURKEY,RUS,TUR,
10.1016/j.wneu.2018.12.188,turkey,USA,TUR,USA,
10.1016/j.wneu.2018.12.112,taiwan,CHINA,TWN,CHN,
10.1016/j.wneu.2018.12.117,taiwan,CHINA,TWN,CHN,
10.1016/j.ces.2018.12.014,turkey,CANADA,TUR,CAN,
10.1016/j.vaccine.2019.03.004,dem rep congo,CANADA,COD,CAN,
10.1016/j.vaccine.2019.02.083,philippines,FRANCE,PHL,FRA,
10.1016/j.ces.2018.09.040,netherlands,CHINA,NLD,CHN,
